stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,target_budget_b,source_extension_point_id,source_extension_campaign_slug,source_extension_kind,support_anchor,support_steps,support_target_labels,source_extension_n_template_stage,source_extension_d_template_stage,data_control_extrapolated
roihu_source_extension_hd64_smalln_d5_n1_seed63_64_n1_d5_dep4_md192_it1094_s63,source_support_extension,canonical,4,72,64,192,63,1094,573571072,524288,16,2048,40,1,L,roihu-source-extension-hd64-smalln-d5-n1-seed63-64-n1-d5-dep4-md192-it1094-s63,1,5,source_support_extension_hd64_smalln_highd_d5,4,573571072,524288,Conservative measured source-support extension for paper-current Delta-Ensemble support validation; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,8061000,8061000,0.0,0.162821576719,1.305337,1:5,source-extension-hd64-smalln-d5-n1-seed63-64,same_family_extrapolated_d_control,1:3,"S_N=2,S_D=1",x22p5_noncenter;x30_right11,roihu_source_prefix_hd64_smalln_5x5_seed24_n1_d0_dep4_md192_it144_s24,extrapolated_from_d4_to_d5,1
roihu_source_extension_hd64_smalln_d5_n1_seed63_64_n1_d5_dep4_md192_it1094_s64,source_support_extension,canonical,4,72,64,192,64,1094,573571072,524288,16,2048,40,1,L,roihu-source-extension-hd64-smalln-d5-n1-seed63-64-n1-d5-dep4-md192-it1094-s64,1,5,source_support_extension_hd64_smalln_highd_d5,4,573571072,524288,Conservative measured source-support extension for paper-current Delta-Ensemble support validation; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,8061000,8061000,0.0,0.162821576719,1.305337,1:5,source-extension-hd64-smalln-d5-n1-seed63-64,same_family_extrapolated_d_control,1:3,"S_N=2,S_D=1",x22p5_noncenter;x30_right11,roihu_source_prefix_hd64_smalln_5x5_seed24_n1_d0_dep4_md192_it144_s24,extrapolated_from_d4_to_d5,1
