stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,source_target_line_index,target_budget_b,target_budget_c,target_budget_c_base,target_budget_c_offset,target_budget_line_residual,target_d_actual,target_label,target_line_design_best_index,target_line_design_offsets,target_line_design_selected_indices,target_line_index,target_neighborhood_offset_index,target_num_iterations_float,uses_target_line_oracle_for_design,verification_role
target_neighborhood_interpolation_hd64_x22p5_x30_x30_o0_u0_dep4_md640_it1640_s61,target_neighborhood_referee,canonical,4,72,64,640,61,1640,859832320,524288,16,2048,40,1,L,target-neighborhood-interpolation-hd64-x22p5-x30-x30-o0-u0-dep4-md640-it1640-s61,1,0,roihu_target_neighborhood_interpolation,4,859832320,524288,"Target-neighborhood interpolation row around a measured target-line minimum; used to build a local measured 2D referee surface, not to fit estimators unless explicitly charged.",controlled_model_dim_target_neighborhood,40632560,40632560,0.0,,1,1.305337,44.37403959201215,44.62403959201215,-0.25,-0.00024289419202006002,859992330.5634431,x30,3,-0.25;0.25,1;2;3;4;5,1,0,1640.3051959294187,True,target_neighborhood_oracle
target_neighborhood_interpolation_hd64_x22p5_x30_x30_o0_u1_dep4_md768_it1329_s61,target_neighborhood_referee,canonical,4,72,64,768,61,1329,696778752,524288,16,2048,40,1,L,target-neighborhood-interpolation-hd64-x22p5-x30-x30-o0-u1-dep4-md768-it1329-s61,2,0,roihu_target_neighborhood_interpolation,4,696778752,524288,"Target-neighborhood interpolation row around a measured target-line minimum; used to build a local measured 2D referee surface, not to fit estimators unless explicitly charged.",controlled_model_dim_target_neighborhood,53477664,53477664,0.0,,2,1.305337,44.37403959201215,44.62403959201215,-0.25,-2.104729291829699e-05,696789986.972061,x30,3,-0.25;0.25,1;2;3;4;5,2,0,1329.0214290086003,True,target_neighborhood_oracle
target_neighborhood_interpolation_hd64_x22p5_x30_x30_o0_u2_dep4_md896_it1107_s61,target_neighborhood_referee,canonical,4,72,64,896,61,1107,580386816,524288,16,2048,40,1,L,target-neighborhood-interpolation-hd64-x22p5-x30-x30-o0-u2-dep4-md896-it1107-s61,3,0,roihu_target_neighborhood_interpolation,4,580386816,524288,"Target-neighborhood interpolation row around a measured target-line minimum; used to build a local measured 2D referee surface, not to fit estimators unless explicitly charged.",controlled_model_dim_target_neighborhood,67895632,67895632,0.0,,3,1.305337,44.37403959201215,44.62403959201215,-0.25,0.00010605992667223063,580339660.9109465,x30,3,-0.25;0.25,1;2;3;4;5,3,0,1106.9100588053636,True,target_neighborhood_oracle
target_neighborhood_interpolation_hd64_x22p5_x30_x30_o0_u3_dep4_md1024_it941_s61,target_neighborhood_referee,canonical,4,72,64,1024,61,941,493355008,524288,16,2048,40,1,L,target-neighborhood-interpolation-hd64-x22p5-x30-x30-o0-u3-dep4-md1024-it941-s61,4,0,roihu_target_neighborhood_interpolation,4,493355008,524288,"Target-neighborhood interpolation row around a measured target-line minimum; used to build a local measured 2D referee surface, not to fit estimators unless explicitly charged.",controlled_model_dim_target_neighborhood,83886464,83886464,0.0,,4,1.305337,44.37403959201215,44.62403959201215,-0.25,-0.0004739881351980557,493534185.39376116,x30,3,-0.25;0.25,1;2;3;4;5,4,0,941.3417537570213,True,target_neighborhood_oracle
target_neighborhood_interpolation_hd64_x22p5_x30_x30_o0_u4_dep4_md1152_it814_s61,target_neighborhood_referee,canonical,4,72,64,1152,61,814,426770432,524288,16,2048,40,1,L,target-neighborhood-interpolation-hd64-x22p5-x30-x30-o0-u4-dep4-md1152-it814-s61,5,0,roihu_target_neighborhood_interpolation,4,426770432,524288,"Target-neighborhood interpolation row around a measured target-line minimum; used to build a local measured 2D referee surface, not to fit estimators unless explicitly charged.",controlled_model_dim_target_neighborhood,101450160,101450160,0.0,,5,1.305337,44.37403959201215,44.62403959201215,-0.25,0.00037801101191803355,426646861.94390666,x30,3,-0.25;0.25,1;2;3;4;5,5,0,813.7643088224538,True,target_neighborhood_oracle
target_neighborhood_interpolation_hd64_x22p5_x30_x30_o1_u0_dep4_md640_it2406_s61,target_neighborhood_referee,canonical,4,72,64,640,61,2406,1261436928,524288,16,2048,40,1,L,target-neighborhood-interpolation-hd64-x22p5-x30-x30-o1-u0-dep4-md640-it2406-s61,1,1,roihu_target_neighborhood_interpolation,4,1261436928,524288,"Target-neighborhood interpolation row around a measured target-line minimum; used to build a local measured 2D referee surface, not to fit estimators unless explicitly charged.",controlled_model_dim_target_neighborhood,40632560,40632560,0.0,,1,1.305337,44.87403959201215,44.62403959201215,0.25,5.280289747133793e-05,1261385901.9602807,x30,3,-0.25;0.25,1;2;3;4;5,1,1,2405.9026755529035,True,target_neighborhood_oracle
target_neighborhood_interpolation_hd64_x22p5_x30_x30_o1_u1_dep4_md768_it1949_s61,target_neighborhood_referee,canonical,4,72,64,768,61,1949,1021837312,524288,16,2048,40,1,L,target-neighborhood-interpolation-hd64-x22p5-x30-x30-o1-u1-dep4-md768-it1949-s61,2,1,roihu_target_neighborhood_interpolation,4,1021837312,524288,"Target-neighborhood interpolation row around a measured target-line minimum; used to build a local measured 2D referee surface, not to fit estimators unless explicitly charged.",controlled_model_dim_target_neighborhood,53477664,53477664,0.0,,2,1.305337,44.87403959201215,44.62403959201215,0.25,-0.00022103224738856397,1022010353.9967626,x30,3,-0.25;0.25,1;2;3;4;5,2,1,1949.3300514159444,True,target_neighborhood_oracle
target_neighborhood_interpolation_hd64_x22p5_x30_x30_o1_u2_dep4_md896_it1624_s61,target_neighborhood_referee,canonical,4,72,64,896,61,1624,851443712,524288,16,2048,40,1,L,target-neighborhood-interpolation-hd64-x22p5-x30-x30-o1-u2-dep4-md896-it1624-s61,3,1,roihu_target_neighborhood_interpolation,4,851443712,524288,"Target-neighborhood interpolation row around a measured target-line minimum; used to build a local measured 2D referee surface, not to fit estimators unless explicitly charged.",controlled_model_dim_target_neighborhood,67895632,67895632,0.0,,3,1.305337,44.87403959201215,44.62403959201215,0.25,0.0003615686877793678,851207901.0540396,x30,3,-0.25;0.25,1;2;3;4;5,3,1,1623.5502263146202,True,target_neighborhood_oracle
target_neighborhood_interpolation_hd64_x22p5_x30_x30_o1_u3_dep4_md1024_it1381_s61,target_neighborhood_referee,canonical,4,72,64,1024,61,1381,724041728,524288,16,2048,40,1,L,target-neighborhood-interpolation-hd64-x22p5-x30-x30-o1-u3-dep4-md1024-it1381-s61,4,1,roihu_target_neighborhood_interpolation,4,724041728,524288,"Target-neighborhood interpolation row around a measured target-line minimum; used to build a local measured 2D referee surface, not to fit estimators unless explicitly charged.",controlled_model_dim_target_neighborhood,83886464,83886464,0.0,,4,1.305337,44.87403959201215,44.62403959201215,0.25,0.00027940984966789983,723886762.0869046,x30,3,-0.25;0.25,1;2;3;4;5,4,1,1380.704425977525,True,target_neighborhood_oracle
target_neighborhood_interpolation_hd64_x22p5_x30_x30_o1_u4_dep4_md1152_it1194_s61,target_neighborhood_referee,canonical,4,72,64,1152,61,1194,625999872,524288,16,2048,40,1,L,target-neighborhood-interpolation-hd64-x22p5-x30-x30-o1-u4-dep4-md1152-it1194-s61,5,1,roihu_target_neighborhood_interpolation,4,625999872,524288,"Target-neighborhood interpolation row around a measured target-line minimum; used to build a local measured 2D referee surface, not to fit estimators unless explicitly charged.",controlled_model_dim_target_neighborhood,101450160,101450160,0.0,,5,1.305337,44.87403959201215,44.62403959201215,0.25,0.00045774301040069076,625780390.8774936,x30,3,-0.25;0.25,1;2;3;4;5,5,1,1193.5813729810593,True,target_neighborhood_oracle
target_neighborhood_interpolation_hd64_x22p5_x30_x30_o0_u0_dep4_md640_it1640_s62,target_neighborhood_referee,canonical,4,72,64,640,62,1640,859832320,524288,16,2048,40,1,L,target-neighborhood-interpolation-hd64-x22p5-x30-x30-o0-u0-dep4-md640-it1640-s62,1,0,roihu_target_neighborhood_interpolation,4,859832320,524288,"Target-neighborhood interpolation row around a measured target-line minimum; used to build a local measured 2D referee surface, not to fit estimators unless explicitly charged.",controlled_model_dim_target_neighborhood,40632560,40632560,0.0,,1,1.305337,44.37403959201215,44.62403959201215,-0.25,-0.00024289419202006002,859992330.5634431,x30,3,-0.25;0.25,1;2;3;4;5,1,0,1640.3051959294187,True,target_neighborhood_oracle
target_neighborhood_interpolation_hd64_x22p5_x30_x30_o0_u1_dep4_md768_it1329_s62,target_neighborhood_referee,canonical,4,72,64,768,62,1329,696778752,524288,16,2048,40,1,L,target-neighborhood-interpolation-hd64-x22p5-x30-x30-o0-u1-dep4-md768-it1329-s62,2,0,roihu_target_neighborhood_interpolation,4,696778752,524288,"Target-neighborhood interpolation row around a measured target-line minimum; used to build a local measured 2D referee surface, not to fit estimators unless explicitly charged.",controlled_model_dim_target_neighborhood,53477664,53477664,0.0,,2,1.305337,44.37403959201215,44.62403959201215,-0.25,-2.104729291829699e-05,696789986.972061,x30,3,-0.25;0.25,1;2;3;4;5,2,0,1329.0214290086003,True,target_neighborhood_oracle
target_neighborhood_interpolation_hd64_x22p5_x30_x30_o0_u2_dep4_md896_it1107_s62,target_neighborhood_referee,canonical,4,72,64,896,62,1107,580386816,524288,16,2048,40,1,L,target-neighborhood-interpolation-hd64-x22p5-x30-x30-o0-u2-dep4-md896-it1107-s62,3,0,roihu_target_neighborhood_interpolation,4,580386816,524288,"Target-neighborhood interpolation row around a measured target-line minimum; used to build a local measured 2D referee surface, not to fit estimators unless explicitly charged.",controlled_model_dim_target_neighborhood,67895632,67895632,0.0,,3,1.305337,44.37403959201215,44.62403959201215,-0.25,0.00010605992667223063,580339660.9109465,x30,3,-0.25;0.25,1;2;3;4;5,3,0,1106.9100588053636,True,target_neighborhood_oracle
target_neighborhood_interpolation_hd64_x22p5_x30_x30_o0_u3_dep4_md1024_it941_s62,target_neighborhood_referee,canonical,4,72,64,1024,62,941,493355008,524288,16,2048,40,1,L,target-neighborhood-interpolation-hd64-x22p5-x30-x30-o0-u3-dep4-md1024-it941-s62,4,0,roihu_target_neighborhood_interpolation,4,493355008,524288,"Target-neighborhood interpolation row around a measured target-line minimum; used to build a local measured 2D referee surface, not to fit estimators unless explicitly charged.",controlled_model_dim_target_neighborhood,83886464,83886464,0.0,,4,1.305337,44.37403959201215,44.62403959201215,-0.25,-0.0004739881351980557,493534185.39376116,x30,3,-0.25;0.25,1;2;3;4;5,4,0,941.3417537570213,True,target_neighborhood_oracle
target_neighborhood_interpolation_hd64_x22p5_x30_x30_o0_u4_dep4_md1152_it814_s62,target_neighborhood_referee,canonical,4,72,64,1152,62,814,426770432,524288,16,2048,40,1,L,target-neighborhood-interpolation-hd64-x22p5-x30-x30-o0-u4-dep4-md1152-it814-s62,5,0,roihu_target_neighborhood_interpolation,4,426770432,524288,"Target-neighborhood interpolation row around a measured target-line minimum; used to build a local measured 2D referee surface, not to fit estimators unless explicitly charged.",controlled_model_dim_target_neighborhood,101450160,101450160,0.0,,5,1.305337,44.37403959201215,44.62403959201215,-0.25,0.00037801101191803355,426646861.94390666,x30,3,-0.25;0.25,1;2;3;4;5,5,0,813.7643088224538,True,target_neighborhood_oracle
target_neighborhood_interpolation_hd64_x22p5_x30_x30_o1_u0_dep4_md640_it2406_s62,target_neighborhood_referee,canonical,4,72,64,640,62,2406,1261436928,524288,16,2048,40,1,L,target-neighborhood-interpolation-hd64-x22p5-x30-x30-o1-u0-dep4-md640-it2406-s62,1,1,roihu_target_neighborhood_interpolation,4,1261436928,524288,"Target-neighborhood interpolation row around a measured target-line minimum; used to build a local measured 2D referee surface, not to fit estimators unless explicitly charged.",controlled_model_dim_target_neighborhood,40632560,40632560,0.0,,1,1.305337,44.87403959201215,44.62403959201215,0.25,5.280289747133793e-05,1261385901.9602807,x30,3,-0.25;0.25,1;2;3;4;5,1,1,2405.9026755529035,True,target_neighborhood_oracle
