stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,source_prefix_order,source_prefix_family,source_prefix_q_hint,target_budget_b,support_rank,support_key,support_point_id,axis_role,critical_axis_repeat,common_init_seed,train_row_group_start,base_num_iterations,D_actual,train_length_multiplier,source_process_control_mode,planned_readouts,target_line_referee_usage,selection_uses_target_oracle,support_candidate_overhead_percent,planned_row_overhead_percent,roihu_partition_note
roihu_fsl_routeb_x17p5_cheaper_process_s97_rg0_16_20260629_rank1_n0_d2_dep4_md128_it324_s97_rg0,source_x17p5_cheaper_process_support_design,canonical,4,72,64,128,97,324,169869312,524288,16,2048,40,1,L,roihu-fsl-routeb-x17p5-cheaper-process-s97-rg0-16-20260629-rank1-n0-d2-dep4-md128-it324-s97-rg0,0,2,x17p5_cheaper_source_process_support_design,4,169869312,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,5,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,1,0:1;0:2;0:4;1:1;4:1,0:2,d_axis,False,97,0,324,169869312,1.0,shared model initialization via same seed; row_group repeats only on N-axis cells,pure_delta;loss_curve_delta;same_support_nls;same_support_vp_nls,held_out_evaluation_only,False,21.603832917604045,,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_routeb_x17p5_cheaper_process_s97_rg0_16_20260629_rank1_n0_d4_dep4_md128_it729_s97_rg0,source_x17p5_cheaper_process_support_design,canonical,4,72,64,128,97,729,382205952,524288,16,2048,40,1,L,roihu-fsl-routeb-x17p5-cheaper-process-s97-rg0-16-20260629-rank1-n0-d4-dep4-md128-it729-s97-rg0,0,4,x17p5_cheaper_source_process_support_design,4,382205952,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,21,5p_to_3x3_to_4x4_to_5x5_nested,25,1.305337,1,0:1;0:2;0:4;1:1;4:1,0:4,d_axis,False,97,0,729,382205952,1.0,shared model initialization via same seed; row_group repeats only on N-axis cells,pure_delta;loss_curve_delta;same_support_nls;same_support_vp_nls,held_out_evaluation_only,False,21.603832917604045,,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_routeb_x17p5_cheaper_process_s97_rg0_16_20260629_rank1_n0_d1_dep4_md128_it216_s97_rg0,source_x17p5_cheaper_process_support_design,canonical,4,72,64,128,97,216,113246208,524288,16,2048,40,1,L,roihu-fsl-routeb-x17p5-cheaper-process-s97-rg0-16-20260629-rank1-n0-d1-dep4-md128-it216-s97-rg0,0,1,x17p5_cheaper_source_process_support_design,4,113246208,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,4,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,1,0:1;0:2;0:4;1:1;4:1,0:1,n_axis,True,97,0,216,113246208,1.0,shared model initialization via same seed; row_group repeats only on N-axis cells,pure_delta;loss_curve_delta;same_support_nls;same_support_vp_nls,held_out_evaluation_only,False,21.603832917604045,,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_routeb_x17p5_cheaper_process_s97_rg0_16_20260629_rank1_n0_d1_dep4_md128_it216_s97_rg16,source_x17p5_cheaper_process_support_design,canonical,4,72,64,128,97,216,113246208,524288,16,2048,40,1,L,roihu-fsl-routeb-x17p5-cheaper-process-s97-rg0-16-20260629-rank1-n0-d1-dep4-md128-it216-s97-rg16,0,1,x17p5_cheaper_source_process_support_design,4,113246208,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,4,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,1,0:1;0:2;0:4;1:1;4:1,0:1,n_axis,True,97,16,216,113246208,1.0,shared model initialization via same seed; row_group repeats only on N-axis cells,pure_delta;loss_curve_delta;same_support_nls;same_support_vp_nls,held_out_evaluation_only,False,21.603832917604045,,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_routeb_x17p5_cheaper_process_s97_rg0_16_20260629_rank1_n1_d1_dep4_md192_it216_s97_rg0,source_x17p5_cheaper_process_support_design,canonical,4,72,64,192,97,216,113246208,524288,16,2048,40,1,L,roihu-fsl-routeb-x17p5-cheaper-process-s97-rg0-16-20260629-rank1-n1-d1-dep4-md192-it216-s97-rg0,1,1,x17p5_cheaper_source_process_support_design,4,113246208,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,8061000.0,8061000.0,0.0,0.162821576719,6,5p_to_3x3_to_4x4_to_5x5_nested,9,1.305337,1,0:1;0:2;0:4;1:1;4:1,1:1,n_axis,True,97,0,216,113246208,1.0,shared model initialization via same seed; row_group repeats only on N-axis cells,pure_delta;loss_curve_delta;same_support_nls;same_support_vp_nls,held_out_evaluation_only,False,21.603832917604045,,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_routeb_x17p5_cheaper_process_s97_rg0_16_20260629_rank1_n1_d1_dep4_md192_it216_s97_rg16,source_x17p5_cheaper_process_support_design,canonical,4,72,64,192,97,216,113246208,524288,16,2048,40,1,L,roihu-fsl-routeb-x17p5-cheaper-process-s97-rg0-16-20260629-rank1-n1-d1-dep4-md192-it216-s97-rg16,1,1,x17p5_cheaper_source_process_support_design,4,113246208,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,8061000.0,8061000.0,0.0,0.162821576719,6,5p_to_3x3_to_4x4_to_5x5_nested,9,1.305337,1,0:1;0:2;0:4;1:1;4:1,1:1,n_axis,True,97,16,216,113246208,1.0,shared model initialization via same seed; row_group repeats only on N-axis cells,pure_delta;loss_curve_delta;same_support_nls;same_support_vp_nls,held_out_evaluation_only,False,21.603832917604045,,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_routeb_x17p5_cheaper_process_s97_rg0_16_20260629_rank1_n4_d1_dep4_md704_it216_s97_rg0,source_x17p5_cheaper_process_support_design,canonical,4,72,64,704,97,216,113246208,524288,16,2048,40,1,L,roihu-fsl-routeb-x17p5-cheaper-process-s97-rg0-16-20260629-rank1-n4-d1-dep4-md704-it216-s97-rg0,4,1,x17p5_cheaper_source_process_support_design,4,113246208,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,46858504.0,46858504.0,0.0,0.162821576719,18,5p_to_3x3_to_4x4_to_5x5_nested,25,1.305337,1,0:1;0:2;0:4;1:1;4:1,4:1,n_axis,True,97,0,216,113246208,1.0,shared model initialization via same seed; row_group repeats only on N-axis cells,pure_delta;loss_curve_delta;same_support_nls;same_support_vp_nls,held_out_evaluation_only,False,21.603832917604045,,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_routeb_x17p5_cheaper_process_s97_rg0_16_20260629_rank1_n4_d1_dep4_md704_it216_s97_rg16,source_x17p5_cheaper_process_support_design,canonical,4,72,64,704,97,216,113246208,524288,16,2048,40,1,L,roihu-fsl-routeb-x17p5-cheaper-process-s97-rg0-16-20260629-rank1-n4-d1-dep4-md704-it216-s97-rg16,4,1,x17p5_cheaper_source_process_support_design,4,113246208,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,46858504.0,46858504.0,0.0,0.162821576719,18,5p_to_3x3_to_4x4_to_5x5_nested,25,1.305337,1,0:1;0:2;0:4;1:1;4:1,4:1,n_axis,True,97,16,216,113246208,1.0,shared model initialization via same seed; row_group repeats only on N-axis cells,pure_delta;loss_curve_delta;same_support_nls;same_support_vp_nls,held_out_evaluation_only,False,21.603832917604045,,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_routeb_x17p5_cheaper_process_s97_rg0_16_20260629_rank2_n0_d3_dep4_md128_it486_s97_rg0,source_x17p5_cheaper_process_support_design,canonical,4,72,64,128,97,486,254803968,524288,16,2048,40,1,L,roihu-fsl-routeb-x17p5-cheaper-process-s97-rg0-16-20260629-rank2-n0-d3-dep4-md128-it486-s97-rg0,0,3,x17p5_cheaper_source_process_support_design,4,254803968,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,13,5p_to_3x3_to_4x4_to_5x5_nested,16,1.305337,2,0:1;0:2;0:3;1:1;4:1,0:3,d_axis,False,97,0,486,254803968,1.0,shared model initialization via same seed; row_group repeats only on N-axis cells,pure_delta;loss_curve_delta;same_support_nls;same_support_vp_nls,held_out_evaluation_only,False,19.270367692514352,,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
