stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,source_prefix_order,source_prefix_family,source_prefix_q_hint,target_budget_b
roihu_source_sparse_farseer_hd64_smalln_9p_seed37_n0_d0_q03,source_prefix,canonical,4,72,64,128,37,144,75497472,524288,16,2048,40,1,L,roihu-source-sparse-farseer-hd64-smalln-9p-seed37-n0-d0-q03,0,0,roihu_source_sparse_farseer_9p_hd64_smalln,4,75497472,524288,"Sparse Farseer 9p source path seed extension: predefined q=3,4,5 non-contiguous 3x3 stencils; held-out target-line BPB remains the referee; extends source-seed support for variance analysis.",controlled_model_dim_source_prefix_smalln_5x5,4980784,4980784,0.0,0.162821576719,1,farseer_sparse_9p_q3_q4_q5,3,1.305337
roihu_source_sparse_farseer_hd64_smalln_9p_seed37_n0_d1_q03,source_prefix,canonical,4,72,64,128,37,216,113246208,524288,16,2048,40,1,L,roihu-source-sparse-farseer-hd64-smalln-9p-seed37-n0-d1-q03,0,1,roihu_source_sparse_farseer_9p_hd64_smalln,4,113246208,524288,"Sparse Farseer 9p source path seed extension: predefined q=3,4,5 non-contiguous 3x3 stencils; held-out target-line BPB remains the referee; extends source-seed support for variance analysis.",controlled_model_dim_source_prefix_smalln_5x5,4980784,4980784,0.0,0.162821576719,2,farseer_sparse_9p_q3_q4_q5,3,1.305337
roihu_source_sparse_farseer_hd64_smalln_9p_seed37_n0_d2_q03,source_prefix,canonical,4,72,64,128,37,324,169869312,524288,16,2048,40,1,L,roihu-source-sparse-farseer-hd64-smalln-9p-seed37-n0-d2-q03,0,2,roihu_source_sparse_farseer_9p_hd64_smalln,4,169869312,524288,"Sparse Farseer 9p source path seed extension: predefined q=3,4,5 non-contiguous 3x3 stencils; held-out target-line BPB remains the referee; extends source-seed support for variance analysis.",controlled_model_dim_source_prefix_smalln_5x5,4980784,4980784,0.0,0.162821576719,3,farseer_sparse_9p_q3_q4_q5,3,1.305337
roihu_source_sparse_farseer_hd64_smalln_9p_seed37_n1_d0_q03,source_prefix,canonical,4,72,64,192,37,144,75497472,524288,16,2048,40,1,L,roihu-source-sparse-farseer-hd64-smalln-9p-seed37-n1-d0-q03,1,0,roihu_source_sparse_farseer_9p_hd64_smalln,4,75497472,524288,"Sparse Farseer 9p source path seed extension: predefined q=3,4,5 non-contiguous 3x3 stencils; held-out target-line BPB remains the referee; extends source-seed support for variance analysis.",controlled_model_dim_source_prefix_smalln_5x5,8061000,8061000,0.0,0.162821576719,4,farseer_sparse_9p_q3_q4_q5,3,1.305337
roihu_source_sparse_farseer_hd64_smalln_9p_seed37_n1_d1_q03,source_prefix,canonical,4,72,64,192,37,216,113246208,524288,16,2048,40,1,L,roihu-source-sparse-farseer-hd64-smalln-9p-seed37-n1-d1-q03,1,1,roihu_source_sparse_farseer_9p_hd64_smalln,4,113246208,524288,"Sparse Farseer 9p source path seed extension: predefined q=3,4,5 non-contiguous 3x3 stencils; held-out target-line BPB remains the referee; extends source-seed support for variance analysis.",controlled_model_dim_source_prefix_smalln_5x5,8061000,8061000,0.0,0.162821576719,5,farseer_sparse_9p_q3_q4_q5,3,1.305337
roihu_source_sparse_farseer_hd64_smalln_9p_seed37_n1_d2_q03,source_prefix,canonical,4,72,64,192,37,324,169869312,524288,16,2048,40,1,L,roihu-source-sparse-farseer-hd64-smalln-9p-seed37-n1-d2-q03,1,2,roihu_source_sparse_farseer_9p_hd64_smalln,4,169869312,524288,"Sparse Farseer 9p source path seed extension: predefined q=3,4,5 non-contiguous 3x3 stencils; held-out target-line BPB remains the referee; extends source-seed support for variance analysis.",controlled_model_dim_source_prefix_smalln_5x5,8061000,8061000,0.0,0.162821576719,6,farseer_sparse_9p_q3_q4_q5,3,1.305337
roihu_source_sparse_farseer_hd64_smalln_9p_seed37_n2_d0_q03,source_prefix,canonical,4,72,64,320,37,144,75497472,524288,16,2048,40,1,L,roihu-source-sparse-farseer-hd64-smalln-9p-seed37-n2-d0-q03,2,0,roihu_source_sparse_farseer_9p_hd64_smalln,4,75497472,524288,"Sparse Farseer 9p source path seed extension: predefined q=3,4,5 non-contiguous 3x3 stencils; held-out target-line BPB remains the referee; extends source-seed support for variance analysis.",controlled_model_dim_source_prefix_smalln_5x5,15401080,15401080,0.0,0.162821576719,7,farseer_sparse_9p_q3_q4_q5,3,1.305337
roihu_source_sparse_farseer_hd64_smalln_9p_seed37_n2_d1_q03,source_prefix,canonical,4,72,64,320,37,216,113246208,524288,16,2048,40,1,L,roihu-source-sparse-farseer-hd64-smalln-9p-seed37-n2-d1-q03,2,1,roihu_source_sparse_farseer_9p_hd64_smalln,4,113246208,524288,"Sparse Farseer 9p source path seed extension: predefined q=3,4,5 non-contiguous 3x3 stencils; held-out target-line BPB remains the referee; extends source-seed support for variance analysis.",controlled_model_dim_source_prefix_smalln_5x5,15401080,15401080,0.0,0.162821576719,8,farseer_sparse_9p_q3_q4_q5,3,1.305337
roihu_source_sparse_farseer_hd64_smalln_9p_seed37_n2_d2_q03,source_prefix,canonical,4,72,64,320,37,324,169869312,524288,16,2048,40,1,L,roihu-source-sparse-farseer-hd64-smalln-9p-seed37-n2-d2-q03,2,2,roihu_source_sparse_farseer_9p_hd64_smalln,4,169869312,524288,"Sparse Farseer 9p source path seed extension: predefined q=3,4,5 non-contiguous 3x3 stencils; held-out target-line BPB remains the referee; extends source-seed support for variance analysis.",controlled_model_dim_source_prefix_smalln_5x5,15401080,15401080,0.0,0.162821576719,9,farseer_sparse_9p_q3_q4_q5,3,1.305337
roihu_source_sparse_farseer_hd64_smalln_9p_seed37_n1_d3_q04,source_prefix,canonical,4,72,64,192,37,486,254803968,524288,16,2048,40,1,L,roihu-source-sparse-farseer-hd64-smalln-9p-seed37-n1-d3-q04,1,3,roihu_source_sparse_farseer_9p_hd64_smalln,4,254803968,524288,"Sparse Farseer 9p source path seed extension: predefined q=3,4,5 non-contiguous 3x3 stencils; held-out target-line BPB remains the referee; extends source-seed support for variance analysis.",controlled_model_dim_source_prefix_smalln_5x5,8061000,8061000,0.0,0.162821576719,10,farseer_sparse_9p_q3_q4_q5,4,1.305337
roihu_source_sparse_farseer_hd64_smalln_9p_seed37_n2_d3_q04,source_prefix,canonical,4,72,64,320,37,486,254803968,524288,16,2048,40,1,L,roihu-source-sparse-farseer-hd64-smalln-9p-seed37-n2-d3-q04,2,3,roihu_source_sparse_farseer_9p_hd64_smalln,4,254803968,524288,"Sparse Farseer 9p source path seed extension: predefined q=3,4,5 non-contiguous 3x3 stencils; held-out target-line BPB remains the referee; extends source-seed support for variance analysis.",controlled_model_dim_source_prefix_smalln_5x5,15401080,15401080,0.0,0.162821576719,11,farseer_sparse_9p_q3_q4_q5,4,1.305337
roihu_source_sparse_farseer_hd64_smalln_9p_seed37_n3_d1_q04,source_prefix,canonical,4,72,64,512,37,216,113246208,524288,16,2048,40,1,L,roihu-source-sparse-farseer-hd64-smalln-9p-seed37-n3-d1-q04,3,1,roihu_source_sparse_farseer_9p_hd64_smalln,4,113246208,524288,"Sparse Farseer 9p source path seed extension: predefined q=3,4,5 non-contiguous 3x3 stencils; held-out target-line BPB remains the referee; extends source-seed support for variance analysis.",controlled_model_dim_source_prefix_smalln_5x5,29360320,29360320,0.0,0.162821576719,12,farseer_sparse_9p_q3_q4_q5,4,1.305337
roihu_source_sparse_farseer_hd64_smalln_9p_seed37_n3_d2_q04,source_prefix,canonical,4,72,64,512,37,324,169869312,524288,16,2048,40,1,L,roihu-source-sparse-farseer-hd64-smalln-9p-seed37-n3-d2-q04,3,2,roihu_source_sparse_farseer_9p_hd64_smalln,4,169869312,524288,"Sparse Farseer 9p source path seed extension: predefined q=3,4,5 non-contiguous 3x3 stencils; held-out target-line BPB remains the referee; extends source-seed support for variance analysis.",controlled_model_dim_source_prefix_smalln_5x5,29360320,29360320,0.0,0.162821576719,13,farseer_sparse_9p_q3_q4_q5,4,1.305337
