stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,target_budget_b,target_budget_c,target_budget_line_residual,target_d_actual,target_line_index,target_num_iterations_float,verification_role
roihu_target_line_hd64_x27p5_prospective_seed103_104_u0_dep4_md512_it2384_s103,target_line_referee,canonical,4,72,64,512,103,2384,1249902592,524288,16,2048,40,1,L,roihu_target_line_hd64_x27p5_prospective_seed103_104-u0-dep4-md512-it2384-s103,0,0,roihu_target_line_measured_oracle,4,1249902592,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,29360320,29360320,0.0,,1.305337,44.4417180352182,6.931216231009785e-05,1161760517.975502,0,2215.8823356161156,target_line_oracle
roihu_target_line_hd64_x27p5_prospective_seed103_104_u1_dep4_md640_it1859_s103,target_line_referee,canonical,4,72,64,640,103,1859,974651392,524288,16,2048,40,1,L,roihu_target_line_hd64_x27p5_prospective_seed103_104-u1-dep4-md640-it1859-s103,1,1,roihu_target_line_measured_oracle,4,974651392,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,40632560,40632560,0.0,,1.305337,44.4417180352182,0.00030657631456421086,905756909.5720732,1,1727.594203132769,target_line_oracle
roihu_target_line_hd64_x27p5_prospective_seed103_104_u2_dep4_md768_it1506_s103,target_line_referee,canonical,4,72,64,768,103,1506,789577728,524288,16,2048,40,1,L,roihu_target_line_hd64_x27p5_prospective_seed103_104-u2-dep4-md768-it1506-s103,2,2,roihu_target_line_measured_oracle,4,789577728,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,53477664,53477664,0.0,,1.305337,44.4417180352182,0.00023737006159052498,733869736.7301931,2,1399.7454390148032,target_line_oracle
roihu_target_line_hd64_x27p5_prospective_seed103_104_u3_dep4_md896_it1254_s103,target_line_referee,canonical,4,72,64,896,103,1254,657457152,524288,16,2048,40,1,L,roihu_target_line_hd64_x27p5_prospective_seed103_104-u3-dep4-md896-it1254-s103,3,3,roihu_target_line_measured_oracle,4,657457152,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,67895632,67895632,0.0,,1.305337,44.4417180352182,0.000207807225294232,611222494.768546,3,1165.8143897410316,target_line_oracle
roihu_target_line_hd64_x27p5_prospective_seed103_104_u4_dep4_md1024_it1066_s103,target_line_referee,canonical,4,72,64,1024,103,1066,558891008,524288,16,2048,40,1,L,roihu_target_line_hd64_x27p5_prospective_seed103_104-u4-dep4-md1024-it1066-s103,4,4,roihu_target_line_measured_oracle,4,558891008,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,83886464,83886464,0.0,,1.305337,44.4417180352182,-0.00057331423950302,519797657.07625246,4,991.4353505635308,target_line_oracle
roihu_target_line_hd64_x27p5_prospective_seed103_104_u5_dep4_md1152_it922_s103,target_line_referee,canonical,4,72,64,1152,103,922,483393536,524288,16,2048,40,1,L,roihu_target_line_hd64_x27p5_prospective_seed103_104-u5-dep4-md1152-it922-s103,5,5,roihu_target_line_measured_oracle,4,483393536,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,101450160,101450160,0.0,,1.305337,44.4417180352182,-0.0001048781221157924,449350917.9317358,5,857.0688589701382,target_line_oracle
roihu_target_line_hd64_x27p5_prospective_seed103_104_u6_dep4_md1280_it808_s103,target_line_referee,canonical,4,72,64,1280,103,808,423624704,524288,16,2048,40,1,L,roihu_target_line_hd64_x27p5_prospective_seed103_104-u6-dep4-md1280-it808-s103,6,6,roihu_target_line_measured_oracle,4,423624704,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,120586720,120586720,0.0,,1.305337,44.4417180352182,0.0003500375275109491,393634717.2552755,6,750.7986397843847,target_line_oracle
roihu_target_line_hd64_x27p5_prospective_seed103_104_u7_dep4_md1408_it715_s103,target_line_referee,canonical,4,72,64,1408,103,715,374865920,524288,16,2048,40,1,L,roihu_target_line_hd64_x27p5_prospective_seed103_104-u7-dep4-md1408-it715-s103,7,7,roihu_target_line_measured_oracle,4,374865920,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,141296144,141296144,0.0,,1.305337,44.4417180352182,8.560227868770198e-05,348628656.6428809,7,664.9563916070574,target_line_oracle
roihu_target_line_hd64_x27p5_prospective_seed103_104_u8_dep4_md1536_it639_s103,target_line_referee,canonical,4,72,64,1536,103,639,335020032,524288,16,2048,40,1,L,roihu_target_line_hd64_x27p5_prospective_seed103_104-u8-dep4-md1536-it639-s103,8,8,roihu_target_line_measured_oracle,4,335020032,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,163578432,163578432,0.0,,1.305337,44.4417180352182,-0.0008624420371035058,311632901.25827754,8,594.3925881543685,target_line_oracle
roihu_target_line_hd64_x27p5_prospective_seed103_104_u0_dep4_md512_it2384_s104,target_line_referee,canonical,4,72,64,512,104,2384,1249902592,524288,16,2048,40,1,L,roihu_target_line_hd64_x27p5_prospective_seed103_104-u0-dep4-md512-it2384-s104,0,0,roihu_target_line_measured_oracle,4,1249902592,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,29360320,29360320,0.0,,1.305337,44.4417180352182,6.931216231009785e-05,1161760517.975502,0,2215.8823356161156,target_line_oracle
