stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,init_seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,source_prefix_order,source_prefix_family,source_prefix_q_hint,target_budget_b,support_rank,support_key,support_point_id,axis_role,train_row_group_start,base_num_iterations,D_actual,train_length_multiplier,process_wave,process_arm_scope,target_line_referee_usage,selection_uses_target_oracle,roihu_partition_note
roihu_x17p5_common_init_union_s95_init4242_n0_d1_dep4_md128_it216_rg0,source_x17p5_common_init_union_support,canonical,4,72,64,128,95,4242,216,113246208,524288,16,2048,40,1,L,roihu-x17p5-common-init-union-s95-init4242-n0-d1-dep4-md128-it216-rg0,0,1,x17p5_common_init_union_support_trace,4,113246208,524288,Single-trace common-initialization diagnostic for x17.5 pure Delta readout; target-line BPB remains held out and is used only for final evaluation.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,4,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,rank2_lowd_skip,0:2;0:3;0:4;2:2;4:2|0:1;0:2;0:4;2:1;4:1,0:1,rank2_lowd_skip,0,216,113246208,1.0,common_init_trace_seed95_init4242,deployable single-trace common-initialization test for both x17.5 candidate supports,held_out_evaluation_only,False,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_x17p5_common_init_union_s95_init4242_n2_d1_dep4_md320_it216_rg0,source_x17p5_common_init_union_support,canonical,4,72,64,320,95,4242,216,113246208,524288,16,2048,40,1,L,roihu-x17p5-common-init-union-s95-init4242-n2-d1-dep4-md320-it216-rg0,2,1,x17p5_common_init_union_support_trace,4,113246208,524288,Single-trace common-initialization diagnostic for x17.5 pure Delta readout; target-line BPB remains held out and is used only for final evaluation.,controlled_model_dim_source_prefix_smalln_5x5,15401080.0,15401080.0,0.0,0.162821576719,8,5p_to_3x3_to_4x4_to_5x5_nested,9,1.305337,rank2_lowd_skip,0:2;0:3;0:4;2:2;4:2|0:1;0:2;0:4;2:1;4:1,2:1,rank2_lowd_skip,0,216,113246208,1.0,common_init_trace_seed95_init4242,deployable single-trace common-initialization test for both x17.5 candidate supports,held_out_evaluation_only,False,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_x17p5_common_init_union_s95_init4242_n4_d1_dep4_md704_it216_rg0,source_x17p5_common_init_union_support,canonical,4,72,64,704,95,4242,216,113246208,524288,16,2048,40,1,L,roihu-x17p5-common-init-union-s95-init4242-n4-d1-dep4-md704-it216-rg0,4,1,x17p5_common_init_union_support_trace,4,113246208,524288,Single-trace common-initialization diagnostic for x17.5 pure Delta readout; target-line BPB remains held out and is used only for final evaluation.,controlled_model_dim_source_prefix_smalln_5x5,46858504.0,46858504.0,0.0,0.162821576719,18,5p_to_3x3_to_4x4_to_5x5_nested,25,1.305337,rank2_lowd_skip,0:2;0:3;0:4;2:2;4:2|0:1;0:2;0:4;2:1;4:1,4:1,rank2_lowd_skip,0,216,113246208,1.0,common_init_trace_seed95_init4242,deployable single-trace common-initialization test for both x17.5 candidate supports,held_out_evaluation_only,False,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_x17p5_common_init_union_s95_init4242_n0_d2_dep4_md128_it324_rg0,source_x17p5_common_init_union_support,canonical,4,72,64,128,95,4242,324,169869312,524288,16,2048,40,1,L,roihu-x17p5-common-init-union-s95-init4242-n0-d2-dep4-md128-it324-rg0,0,2,x17p5_common_init_union_support_trace,4,169869312,524288,Single-trace common-initialization diagnostic for x17.5 pure Delta readout; target-line BPB remains held out and is used only for final evaluation.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,5,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,rank1_highd+rank2_lowd_skip,0:2;0:3;0:4;2:2;4:2|0:1;0:2;0:4;2:1;4:1,0:2,rank1_highd+rank2_lowd_skip,0,324,169869312,1.0,common_init_trace_seed95_init4242,deployable single-trace common-initialization test for both x17.5 candidate supports,held_out_evaluation_only,False,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_x17p5_common_init_union_s95_init4242_n0_d3_dep4_md128_it486_rg0,source_x17p5_common_init_union_support,canonical,4,72,64,128,95,4242,486,254803968,524288,16,2048,40,1,L,roihu-x17p5-common-init-union-s95-init4242-n0-d3-dep4-md128-it486-rg0,0,3,x17p5_common_init_union_support_trace,4,254803968,524288,Single-trace common-initialization diagnostic for x17.5 pure Delta readout; target-line BPB remains held out and is used only for final evaluation.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,13,5p_to_3x3_to_4x4_to_5x5_nested,16,1.305337,rank1_highd,0:2;0:3;0:4;2:2;4:2|0:1;0:2;0:4;2:1;4:1,0:3,rank1_highd,0,486,254803968,1.0,common_init_trace_seed95_init4242,deployable single-trace common-initialization test for both x17.5 candidate supports,held_out_evaluation_only,False,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_x17p5_common_init_union_s95_init4242_n0_d4_dep4_md128_it729_rg0,source_x17p5_common_init_union_support,canonical,4,72,64,128,95,4242,729,382205952,524288,16,2048,40,1,L,roihu-x17p5-common-init-union-s95-init4242-n0-d4-dep4-md128-it729-rg0,0,4,x17p5_common_init_union_support_trace,4,382205952,524288,Single-trace common-initialization diagnostic for x17.5 pure Delta readout; target-line BPB remains held out and is used only for final evaluation.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,21,5p_to_3x3_to_4x4_to_5x5_nested,25,1.305337,rank1_highd+rank2_lowd_skip,0:2;0:3;0:4;2:2;4:2|0:1;0:2;0:4;2:1;4:1,0:4,rank1_highd+rank2_lowd_skip,0,729,382205952,1.0,common_init_trace_seed95_init4242,deployable single-trace common-initialization test for both x17.5 candidate supports,held_out_evaluation_only,False,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_x17p5_common_init_union_s95_init4242_n2_d2_dep4_md320_it324_rg0,source_x17p5_common_init_union_support,canonical,4,72,64,320,95,4242,324,169869312,524288,16,2048,40,1,L,roihu-x17p5-common-init-union-s95-init4242-n2-d2-dep4-md320-it324-rg0,2,2,x17p5_common_init_union_support_trace,4,169869312,524288,Single-trace common-initialization diagnostic for x17.5 pure Delta readout; target-line BPB remains held out and is used only for final evaluation.,controlled_model_dim_source_prefix_smalln_5x5,15401080.0,15401080.0,0.0,0.162821576719,9,5p_to_3x3_to_4x4_to_5x5_nested,9,1.305337,rank1_highd,0:2;0:3;0:4;2:2;4:2|0:1;0:2;0:4;2:1;4:1,2:2,rank1_highd,0,324,169869312,1.0,common_init_trace_seed95_init4242,deployable single-trace common-initialization test for both x17.5 candidate supports,held_out_evaluation_only,False,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_x17p5_common_init_union_s95_init4242_n4_d2_dep4_md704_it324_rg0,source_x17p5_common_init_union_support,canonical,4,72,64,704,95,4242,324,169869312,524288,16,2048,40,1,L,roihu-x17p5-common-init-union-s95-init4242-n4-d2-dep4-md704-it324-rg0,4,2,x17p5_common_init_union_support_trace,4,169869312,524288,Single-trace common-initialization diagnostic for x17.5 pure Delta readout; target-line BPB remains held out and is used only for final evaluation.,controlled_model_dim_source_prefix_smalln_5x5,46858504.0,46858504.0,0.0,0.162821576719,19,5p_to_3x3_to_4x4_to_5x5_nested,25,1.305337,rank1_highd,0:2;0:3;0:4;2:2;4:2|0:1;0:2;0:4;2:1;4:1,4:2,rank1_highd,0,324,169869312,1.0,common_init_trace_seed95_init4242,deployable single-trace common-initialization test for both x17.5 candidate supports,held_out_evaluation_only,False,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
