stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,target_budget_b,source_crossed_point_id,source_crossed_campaign_slug,source_crossed_support_plan_id,source_crossed_n_template_stage,source_crossed_d_template_stage,source_crossed_N_scaling,source_crossed_D_actual,target_line_referee_usage
roihu_routeb_targetnear_highd_longsn_nm1d5_n3d3_seed81_82_20260626_nn1_dd0_dep4_md512_it486_s81,source_crossed_support_wave,canonical,4,72,64,512,81,486,254803968,524288,16,2048,40,1,L,roihu-routeb-targetnear-highd-longsn-nm1d5-n3d3-seed81-82-20260626-nn1-dd0-dep4-md512-it486-s81,3,3,routeb_targetnear_highd_longsn_source_wave,4,254803968,524288,Crossed source-support cell for Delta readout validation. Target-line BPB remains held out for evaluation only.,controlled_model_dim_source_prefix_smalln_5x5,29360320.0,29360320.0,0.0,0.162821576719,1.305337,3:3,routeb-targetnear-highd-longsn-nm1d5-n3d3-seed81-82-20260626,x30_x22p5_best_ready_anchor_-1_3_S_N2_S_D1,roihu_source_prefix_hd64_smalln_5x5_seed24_n3_d0_dep4_md512_it144_s24,roihu_source_prefix_hd64_smalln_5x5_seed24_n0_d3_dep4_md128_it486_s24,29360320.0,254803968.0,held_out_evaluation_only
roihu_routeb_targetnear_highd_longsn_nm1d5_n3d3_seed81_82_20260626_nn0_dd1_dep4_md64_it1094_s81,source_crossed_support_wave,canonical,4,72,64,64,81,1094,573571072,524288,16,2048,40,1,L,roihu-routeb-targetnear-highd-longsn-nm1d5-n3d3-seed81-82-20260626-nn0-dd1-dep4-md64-it1094-s81,-1,5,routeb_targetnear_highd_longsn_source_wave,4,573571072,524288,Crossed source-support cell for Delta readout validation. Target-line BPB remains held out for evaluation only.,controlled_model_dim_source_prefix_smalln_lowern_extension,2293784.0,2293784.0,0.154524310637,0.162821576719,1.305337,-1:5,routeb-targetnear-highd-longsn-nm1d5-n3d3-seed81-82-20260626,x30_x22p5_best_ready_anchor_-1_3_S_N2_S_D1,roihu_source_lowern_extension_hd64_smalln_x30_x22p5_s2d1_n-1_d1_dep4_md64_it216_s53,roihu_source_extension_hd64_smalln_d5_n0_seed61_62_n0_d5_dep4_md128_it1094_s61,2293784.0,573571072.0,held_out_evaluation_only
roihu_routeb_targetnear_highd_longsn_nm1d5_n3d3_seed81_82_20260626_nn1_dd0_dep4_md512_it486_s82,source_crossed_support_wave,canonical,4,72,64,512,82,486,254803968,524288,16,2048,40,1,L,roihu-routeb-targetnear-highd-longsn-nm1d5-n3d3-seed81-82-20260626-nn1-dd0-dep4-md512-it486-s82,3,3,routeb_targetnear_highd_longsn_source_wave,4,254803968,524288,Crossed source-support cell for Delta readout validation. Target-line BPB remains held out for evaluation only.,controlled_model_dim_source_prefix_smalln_5x5,29360320.0,29360320.0,0.0,0.162821576719,1.305337,3:3,routeb-targetnear-highd-longsn-nm1d5-n3d3-seed81-82-20260626,x30_x22p5_best_ready_anchor_-1_3_S_N2_S_D1,roihu_source_prefix_hd64_smalln_5x5_seed24_n3_d0_dep4_md512_it144_s24,roihu_source_prefix_hd64_smalln_5x5_seed24_n0_d3_dep4_md128_it486_s24,29360320.0,254803968.0,held_out_evaluation_only
roihu_routeb_targetnear_highd_longsn_nm1d5_n3d3_seed81_82_20260626_nn0_dd1_dep4_md64_it1094_s82,source_crossed_support_wave,canonical,4,72,64,64,82,1094,573571072,524288,16,2048,40,1,L,roihu-routeb-targetnear-highd-longsn-nm1d5-n3d3-seed81-82-20260626-nn0-dd1-dep4-md64-it1094-s82,-1,5,routeb_targetnear_highd_longsn_source_wave,4,573571072,524288,Crossed source-support cell for Delta readout validation. Target-line BPB remains held out for evaluation only.,controlled_model_dim_source_prefix_smalln_lowern_extension,2293784.0,2293784.0,0.154524310637,0.162821576719,1.305337,-1:5,routeb-targetnear-highd-longsn-nm1d5-n3d3-seed81-82-20260626,x30_x22p5_best_ready_anchor_-1_3_S_N2_S_D1,roihu_source_lowern_extension_hd64_smalln_x30_x22p5_s2d1_n-1_d1_dep4_md64_it216_s53,roihu_source_extension_hd64_smalln_d5_n0_seed61_62_n0_d5_dep4_md128_it1094_s61,2293784.0,573571072.0,held_out_evaluation_only
